// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     80011918      8  __main
main     80011920     36  start
main     80011944    124  stup1
main     800119C0     12  stup0
main     800119CC      1  2MBYTE_OBJ_B4
main     80015EE0    396  __adddf3
main     8001606C    436  ADDDF3_OBJ_18C
main     80016220     12  ADDDF3_OBJ_340
main     8001622C     48  ADDDF3_OBJ_34C
main     8001625C    176  _add_mant_d
main     8001630C     36  _dbl_shift
main     80016330     96  DBSHIFT_OBJ_24
main     800163D4    584  __divdf3
main     8001661C    100  DIVDF3_OBJ_248
main     80016680     52  DIVDF3_OBJ_2AC
main     800166B4     60  _comp_mant
main     800166F0      8  DIVDF3_OBJ_31C
main     800166F8     36  _dbl_shift_us
main     8001671C     96  DBSHIFTU_OBJ_24
main     800167C0    212  __fixdfsi
main     80016894     12  FIXDFSI_OBJ_D4
main     800168A0     32  FIXDFSI_OBJ_E0
main     800168C0    228  __fixunsdfsi
main     800169A4     12  FIXUDFSI_OBJ_E4
main     800169B0     32  FIXUDFSI_OBJ_F0
main     800169D0    220  __floatsidf
main     80016AAC     40  FLTSIDF_OBJ_DC
main     80016AD4    208  __gedf2
main     80016BA4      4  GEDF2_OBJ_D0
main     80016BA8      8  GEDF2_OBJ_D4
main     80016BB0    212  __gtdf2
main     80016C84      8  GTDF2_OBJ_D4
main     80016C8C    208  __ledf2
main     80016D5C      8  LEDF2_OBJ_D0
main     80016D64    116  _mainasu
main     80016DD8    628  __muldf3
main     8001704C    100  MULDF3_OBJ_274
main     800170B0     60  MULDF3_OBJ_2D8
main     800170EC    240  _mul_mant_d
main     800171DC     72  __eqdf2
main     80017224      8  EQDF2_OBJ_48
main     8001722C     56  __negdf2
main     80017264    116  __subdf3
main     800172D8     16  SUBDF3_OBJ_74
main     800172E8     76  _err_math
main     80017334     12  FERR_OBJ_4C
main     80017340     16  FERR_OBJ_58
main     80017350    160  SpuWrite0
main     800173F0    156  S_W0_OBJ_A0
main     8001748C     88  _spu_reset
main     800174E4     52  SPU_OBJ_58
